Vu_over_Vi,frekvens
0.9999484302898403,1.0
0.9998628452851542,1.6237767391887217
0.9996655416120108,2.636650898730358
0.9990469521937602,4.281332398719393
0.9975604289307263,6.951927961775605
0.9939421034778813,11.28837891684689
0.9839727656151107,18.329807108324356
0.9582571810882348,29.76351441631318
0.8960501198492834,48.329302385717526
0.7779569545347762,78.47599703514611
0.6276366784041665,127.42749857031335
0.41842955753374966,206.913808111479
0.2693696467756842,335.9818286283781
0.1807465865169524,545.559478116852
0.10503930025358948,885.8667904100823
0.07630651474733954,1438.449888287663
0.04384203930344044,2335.7214690901214
0.022659639683271036,3792.69019073225
0.0143938729085829,6158.482110660261
0.008092427241122142,10000.0
